Time,Ar_press,Ar_mass_flow,He_mass_flow,He_press,He_vol_flow,Ar_vol_flow,Ar_STP_press,He_STP_press
2021-08-27T08:24:00.099,1.196,0.5,0.5,1.197,0.426,0.426,1.01325008393781,1.01325008393781
2021-08-27T08:24:30.300,1.204,0.5,0.5,1.204,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:25:00.547,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:25:30.791,1.206,0.5,0.5,1.206,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:26:01.050,1.206,0.5,0.5,1.206,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:26:31.245,1.206,0.5,0.5,1.206,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:27:01.483,1.205,0.5,0.5,1.206,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:27:31.733,1.205,0.5,0.5,1.206,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:28:01.939,1.205,0.5,0.5,1.206,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:28:32.132,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:29:02.328,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:29:32.553,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:30:02.742,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:30:32.975,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:31:03.191,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:31:33.429,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:32:03.647,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:32:33.849,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:33:04.069,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:33:34.262,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:34:04.458,1.205,0.5,0.5,1.205,0.423,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:34:34.676,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:35:04.920,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:35:35.145,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:36:05.346,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:36:35.591,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:37:05.799,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:37:36.007,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:38:06.228,1.206,0.5,0.5,1.206,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:38:36.462,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:39:06.701,1.205,0.5,0.5,1.205,0.424,0.423,1.01325008393781,1.01325008393781
2021-08-27T08:39:36.881,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:40:07.089,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:40:37.295,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:41:07.484,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:41:37.697,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:42:07.920,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:42:38.124,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:43:08.338,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:43:38.524,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:44:08.747,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:44:38.959,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:45:09.190,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:45:39.409,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:46:09.639,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:46:39.821,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:47:10.060,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
2021-08-27T08:47:40.279,1.205,0.5,0.5,1.205,0.424,0.424,1.01325008393781,1.01325008393781
